date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:52:17	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2007%20Aug%202022%2021:52:17%20GMT	https://pinnaclecapitallimted.com/contact-us	C:/Users/HP/Desktop/Dev%20Tools/pinnacle/pinnaclecapitallimted.com/contact-us.22.delayed	(from https://pinnaclecapitallimted.com/)
16:52:18	62612/62612	---M-Z	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202022%2021:52:17%20GMT	https://pinnaclecapitallimted.com/faq/	C:/Users/HP/Desktop/Dev%20Tools/pinnacle/pinnaclecapitallimted.com/faq/index.html	(from https://pinnaclecapitallimted.com/)
16:52:18	60928/60928	---M-Z	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202022%2021:52:17%20GMT	https://pinnaclecapitallimted.com/login/	C:/Users/HP/Desktop/Dev%20Tools/pinnacle/pinnaclecapitallimted.com/login/index.html	(from https://pinnaclecapitallimted.com/)
16:52:18	80695/80695	---M-Z	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202022%2021:52:17%20GMT	https://pinnaclecapitallimted.com/pricing-plan/	C:/Users/HP/Desktop/Dev%20Tools/pinnacle/pinnaclecapitallimted.com/pricing-plan/index.html	(from https://pinnaclecapitallimted.com/)
16:52:18	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2007%20Aug%202022%2021:52:18%20GMT	https://pinnaclecapitallimted.com/login	C:/Users/HP/Desktop/Dev%20Tools/pinnacle/pinnaclecapitallimted.com/login	(from https://pinnaclecapitallimted.com/)
16:52:19	57988/57988	---M-Z	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202022%2021:52:18%20GMT	https://pinnaclecapitallimted.com/register/	C:/Users/HP/Desktop/Dev%20Tools/pinnacle/pinnaclecapitallimted.com/register/index.html	(from https://pinnaclecapitallimted.com/)
16:52:20	76871/76871	---M-Z	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202022%2021:52:18%20GMT	https://pinnaclecapitallimted.com/contact-us/	C:/Users/HP/Desktop/Dev%20Tools/pinnacle/pinnaclecapitallimted.com/contact-us/index.html	(from https://pinnaclecapitallimted.com/)
16:52:20	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2007%20Aug%202022%2021:52:18%20GMT	https://pinnaclecapitallimted.com/about-us	C:/Users/HP/Desktop/Dev%20Tools/pinnacle/pinnaclecapitallimted.com/about-us	(from https://pinnaclecapitallimted.com/)
16:52:21	2144/2144	---M--	200	added ('OK')	image/png	date:Sat,%2031%20Jul%202021%2002:21:30%20GMT	https://pinnaclecapitallimted.com/wp-content/uploads/sites/56/2021/07/logoipsum-logo-1-8.png	C:/Users/HP/Desktop/Dev%20Tools/pinnacle/pinnaclecapitallimted.com/wp-content/uploads/sites/56/2021/07/logoipsum-logo-1-8.png	(from https://pinnaclecapitallimted.com/)
16:52:22	29837/29837	---M--	200	added ('OK')	image/png	date:Sat,%2031%20Jul%202021%2002:48:24%20GMT	https://pinnaclecapitallimted.com/wp-content/uploads/sites/56/elementor/thumbs/review-pax8xa59ali2l2d2rshm1w0fw1j6kryxq3zav4fsw0.png	C:/Users/HP/Desktop/Dev%20Tools/pinnacle/pinnaclecapitallimted.com/wp-content/uploads/sites/56/elementor/thumbs/review-pax8xa59ali2l2d2rshm1w0fw1j6kryxq3zav4fsw0.png	(from https://pinnaclecapitallimted.com/)
16:52:22	1828/1828	---M--	200	added ('OK')	image/png	date:Sat,%2031%20Jul%202021%2002:21:30%20GMT	https://pinnaclecapitallimted.com/wp-content/uploads/sites/56/2021/07/logoipsum-logo-2-10.png	C:/Users/HP/Desktop/Dev%20Tools/pinnacle/pinnaclecapitallimted.com/wp-content/uploads/sites/56/2021/07/logoipsum-logo-2-10.png	(from https://pinnaclecapitallimted.com/)
16:52:22	1818/1818	---M--	200	added ('OK')	image/png	date:Sat,%2031%20Jul%202021%2002:21:32%20GMT	https://pinnaclecapitallimted.com/wp-content/uploads/sites/56/2021/07/logoipsum-logo-4-1.png	C:/Users/HP/Desktop/Dev%20Tools/pinnacle/pinnaclecapitallimted.com/wp-content/uploads/sites/56/2021/07/logoipsum-logo-4-1.png	(from https://pinnaclecapitallimted.com/)
16:52:23	2006/2006	---M--	200	added ('OK')	image/png	date:Sat,%2031%20Jul%202021%2002:21:32%20GMT	https://pinnaclecapitallimted.com/wp-content/uploads/sites/56/2021/07/logoipsum-logo-8-1.png	C:/Users/HP/Desktop/Dev%20Tools/pinnacle/pinnaclecapitallimted.com/wp-content/uploads/sites/56/2021/07/logoipsum-logo-8-1.png	(from https://pinnaclecapitallimted.com/)
16:52:23	127318/127318	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Aug%202021%2006:18:44%20GMT	https://pinnaclecapitallimted.com/wp-content/uploads/sites/56/2021/07/at-the-meeting-with-finance-advisor--e1627827525259.jpg	C:/Users/HP/Desktop/Dev%20Tools/pinnacle/pinnaclecapitallimted.com/wp-content/uploads/sites/56/2021/07/at-the-meeting-with-finance-advisor--e1627827525259.jpg	(from https://pinnaclecapitallimted.com/)
16:52:23	1977/1977	---M--	200	added ('OK')	image/png	date:Sat,%2031%20Jul%202021%2002:21:34%20GMT	https://pinnaclecapitallimted.com/wp-content/uploads/sites/56/2021/07/logoipsum-logo-11-1.png	C:/Users/HP/Desktop/Dev%20Tools/pinnacle/pinnaclecapitallimted.com/wp-content/uploads/sites/56/2021/07/logoipsum-logo-11-1.png	(from https://pinnaclecapitallimted.com/)
16:52:24	2513/2513	---M--	200	added ('OK')	image/png	date:Sat,%2031%20Jul%202021%2002:21:34%20GMT	https://pinnaclecapitallimted.com/wp-content/uploads/sites/56/2021/07/logoipsum-logo-12-1.png	C:/Users/HP/Desktop/Dev%20Tools/pinnacle/pinnaclecapitallimted.com/wp-content/uploads/sites/56/2021/07/logoipsum-logo-12-1.png	(from https://pinnaclecapitallimted.com/)
16:52:25	2350/2350	---M--	200	added ('OK')	image/png	date:Sat,%2031%20Jul%202021%2002:21:36%20GMT	https://pinnaclecapitallimted.com/wp-content/uploads/sites/56/2021/07/logoipsum-logo-17-1.png	C:/Users/HP/Desktop/Dev%20Tools/pinnacle/pinnaclecapitallimted.com/wp-content/uploads/sites/56/2021/07/logoipsum-logo-17-1.png	(from https://pinnaclecapitallimted.com/)
16:52:25	2418/2418	---M--	200	added ('OK')	image/png	date:Sat,%2031%20Jul%202021%2002:21:36%20GMT	https://pinnaclecapitallimted.com/wp-content/uploads/sites/56/2021/07/logoipsum-logo-27-1.png	C:/Users/HP/Desktop/Dev%20Tools/pinnacle/pinnaclecapitallimted.com/wp-content/uploads/sites/56/2021/07/logoipsum-logo-27-1.png	(from https://pinnaclecapitallimted.com/)
16:52:26	3766/3766	---M--	200	added ('OK')	image/png	date:Sat,%2031%20Jul%202021%2002:21:38%20GMT	https://pinnaclecapitallimted.com/wp-content/uploads/sites/56/2021/07/logoipsum-logo-29-1.png	C:/Users/HP/Desktop/Dev%20Tools/pinnacle/pinnaclecapitallimted.com/wp-content/uploads/sites/56/2021/07/logoipsum-logo-29-1.png	(from https://pinnaclecapitallimted.com/)
16:52:27	85826/85826	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Aug%202021%2006:19:10%20GMT	https://pinnaclecapitallimted.com/wp-content/uploads/sites/56/2021/07/finance-e1627827550977.jpg	C:/Users/HP/Desktop/Dev%20Tools/pinnacle/pinnaclecapitallimted.com/wp-content/uploads/sites/56/2021/07/finance-e1627827550977.jpg	(from https://pinnaclecapitallimted.com/)
16:52:29	82820/82820	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Aug%202021%2006:19:50%20GMT	https://pinnaclecapitallimted.com/wp-content/uploads/sites/56/2021/07/business-e1627827590309.jpg	C:/Users/HP/Desktop/Dev%20Tools/pinnacle/pinnaclecapitallimted.com/wp-content/uploads/sites/56/2021/07/business-e1627827590309.jpg	(from https://pinnaclecapitallimted.com/)
16:52:29	21861/21861	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Aug%202021%2001:11:22%20GMT	https://pinnaclecapitallimted.com/wp-content/uploads/sites/56/elementor/thumbs/dinancial-history-payv9oe4z4sk4u3b3qi3zexqr66ab8dugui1mnfa4g.png	C:/Users/HP/Desktop/Dev%20Tools/pinnacle/pinnaclecapitallimted.com/wp-content/uploads/sites/56/elementor/thumbs/dinancial-history-payv9oe4z4sk4u3b3qi3zexqr66ab8dugui1mnfa4g.png	(from https://pinnaclecapitallimted.com/)
16:52:30	4129/4129	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Aug%202021%2001:08:46%20GMT	https://pinnaclecapitallimted.com/wp-content/uploads/sites/56/2021/08/Stock.png	C:/Users/HP/Desktop/Dev%20Tools/pinnacle/pinnaclecapitallimted.com/wp-content/uploads/sites/56/2021/08/Stock.png	(from https://pinnaclecapitallimted.com/)
16:52:30	3549/3549	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Aug%202021%2001:08:44%20GMT	https://pinnaclecapitallimted.com/wp-content/uploads/sites/56/2021/08/Order.png	C:/Users/HP/Desktop/Dev%20Tools/pinnacle/pinnaclecapitallimted.com/wp-content/uploads/sites/56/2021/08/Order.png	(from https://pinnaclecapitallimted.com/)
16:52:31	12679/12679	---M--	200	added ('OK')	image/jpeg	date:Sat,%2031%20Jul%202021%2008:45:00%20GMT	https://pinnaclecapitallimted.com/wp-content/uploads/sites/56/2021/07/business-woman-3-e1627749901434.jpg	C:/Users/HP/Desktop/Dev%20Tools/pinnacle/pinnaclecapitallimted.com/wp-content/uploads/sites/56/2021/07/business-woman-3-e1627749901434.jpg	(from https://pinnaclecapitallimted.com/)
16:52:32	13164/13164	---M--	200	added ('OK')	image/jpeg	date:Sat,%2031%20Jul%202021%2008:44:26%20GMT	https://pinnaclecapitallimted.com/wp-content/uploads/sites/56/2021/07/business-woman-4-e1627749867648.jpg	C:/Users/HP/Desktop/Dev%20Tools/pinnacle/pinnaclecapitallimted.com/wp-content/uploads/sites/56/2021/07/business-woman-4-e1627749867648.jpg	(from https://pinnaclecapitallimted.com/)
